,Undergrade CGPA,TOEFL,GRE/GMAT,Conference Paper,Journal Paper,Job Experience(Years),Class_A,Class_B,Class_C,Class_D
0,0.545454545454545,0.7692307692307696,0.9761904761904762,0.0,0.3333333333333333,0.136,1,0,0,0
1,0.545454545454545,0.7692307692307696,0.9761904761904762,0.0,0.3333333333333333,0.136,0,0,0,1
2,0.545454545454545,0.7692307692307696,0.9761904761904762,0.0,0.3333333333333333,0.136,0,0,0,1
3,0.545454545454545,0.7692307692307696,0.9761904761904762,0.0,0.3333333333333333,0.136,0,0,0,1
4,0.545454545454545,0.7692307692307696,0.9761904761904762,0.0,0.3333333333333333,0.136,1,0,0,0
5,0.8787878787878785,0.7948717948717952,0.9732142857142857,0.08333333333333333,0.0,0.064,1,0,0,0
6,0.8787878787878785,0.7948717948717952,0.9732142857142857,0.08333333333333333,0.0,0.064,0,0,1,0
7,0.8787878787878785,0.7948717948717952,0.9732142857142857,0.08333333333333333,0.0,0.064,0,0,1,0
8,0.4545454545454546,0.5897435897435899,0.9375,0.08333333333333333,0.0,0.036000000000000004,0,0,1,0
9,0.4545454545454546,0.5897435897435899,0.9375,0.08333333333333333,0.0,0.036000000000000004,0,0,0,1
10,0.7171717171717167,0.5128205128205132,0.8928571428571428,1.0,0.0,0.18,0,0,1,0
11,0.7171717171717167,0.5128205128205132,0.8928571428571428,1.0,0.0,0.18,0,0,0,1
12,0.7171717171717167,0.5128205128205132,0.8928571428571428,1.0,0.0,0.18,0,0,1,0
13,0.6464646464646462,0.5897435897435899,0.9345238095238094,0.41666666666666663,0.16666666666666666,0.004,1,0,0,0
14,0.6464646464646462,0.5897435897435899,0.9345238095238094,0.41666666666666663,0.16666666666666666,0.004,0,0,0,1
15,0.6464646464646462,0.5897435897435899,0.9345238095238094,0.41666666666666663,0.16666666666666666,0.004,0,1,0,0
16,0.6464646464646462,0.5897435897435899,0.9345238095238094,0.41666666666666663,0.16666666666666666,0.004,0,1,0,0
17,0.6464646464646462,0.5897435897435899,0.9345238095238094,0.41666666666666663,0.16666666666666666,0.004,1,0,0,0
18,0.7272727272727271,0.5128205128205132,0.925595238095238,0.41666666666666663,0.3333333333333333,0.02,0,0,1,0
19,0.7272727272727271,0.5128205128205132,0.925595238095238,0.41666666666666663,0.3333333333333333,0.02,0,0,1,0
20,0.7272727272727271,0.5128205128205132,0.925595238095238,0.41666666666666663,0.3333333333333333,0.02,0,0,1,0
21,0.7272727272727271,0.5128205128205132,0.925595238095238,0.41666666666666663,0.3333333333333333,0.02,0,1,0,0
22,0.5363636363636362,0.666666666666667,0.9226190476190476,0.25,1.0,0.22399999999999998,0,0,1,0
23,0.050505050505050164,0.5128205128205132,0.9345238095238094,0.0,0.0,0.0,0,0,1,0
24,0.8888888888888884,0.9487179487179489,0.925595238095238,0.41666666666666663,0.5,0.032,1,0,0,0
25,0.8888888888888884,0.9487179487179489,0.925595238095238,0.41666666666666663,0.5,0.032,1,0,0,0
26,0.8888888888888884,0.9487179487179489,0.925595238095238,0.41666666666666663,0.5,0.032,1,0,0,0
27,0.8888888888888884,0.9487179487179489,0.925595238095238,0.41666666666666663,0.5,0.032,0,1,0,0
28,0.020202020202019888,0.5128205128205132,0.9077380952380952,0.5,0.5,0.14,0,1,0,0
29,0.25252525252525215,0.5128205128205132,0.9404761904761905,0.0,0.0,0.06,0,0,1,0
30,0.25252525252525215,0.5128205128205132,0.9404761904761905,0.0,0.0,0.06,0,1,0,0
31,0.25252525252525215,0.5128205128205132,0.9404761904761905,0.0,0.0,0.06,0,1,0,0
32,0.25252525252525215,0.5128205128205132,0.9404761904761905,0.0,0.0,0.06,0,0,1,0
33,0.25252525252525215,0.5128205128205132,0.9404761904761905,0.0,0.0,0.06,0,0,1,0
34,0.25252525252525215,0.5128205128205132,0.9404761904761905,0.0,0.0,0.06,0,0,0,1
35,0.10101010101010077,0.30769230769230793,0.9107142857142857,0.08333333333333333,0.0,0.04,0,0,1,0
36,0.10101010101010077,0.30769230769230793,0.9107142857142857,0.08333333333333333,0.0,0.04,0,1,0,0
37,0.10101010101010077,0.30769230769230793,0.9107142857142857,0.08333333333333333,0.0,0.04,0,0,1,0
